Month,Region,Total Adults,Male Adults,Female Adults,Adults Aged 18-24,Adults Aged 25-44,Adults Aged 45-64,Adults Aged 65+,Number of people who accessed Private Emergency Accommodation,Number of people who accessed Supported Temporary Accommodation,Number of people who accessed Temporary Emergency Accommodation,Number of people who accessed Other Accommodation,Number of Families,Number of Adults in Families,Number of Single-Parent families,Number of Dependants in Families
January ,Dublin,4600,2773,1827,577,2687,1250,86,2349,2278,62,0,1201,1735,667,2678
January,Mid-East,301,186,115,40,160,90,11,183,114,4,0,68,98,38,156
January,Midlands,109,58,51,22,58,28,1,73,12,24,0,25,34,16,56
January,Mid-West,341,208,133,48,189,97,7,121,182,38,0,85,106,64,147
January,North-East,128,77,51,18,63,36,11,70,56,2,0,22,25,19,32
January,North-West,67,45,22,14,34,18,1,19,31,11,6,9,11,7,21
January,South-East,222,160,62,35,122,56,9,58,162,0,2,11,14,8,21
January,South-West,578,358,220,73,342,138,25,328,254,0,0,111,159,63,264
January,West,351,202,149,42,195,101,13,205,144,0,2,79,115,43,199
February,Dublin,4550,2766,1784,580,2641,1222,107,2288,2289,60,0,1178,1721,635,2669
February,Mid-East,312,191,121,42,171,89,10,186,122,4,0,76,109,43,167
February,Midlands,114,62,52,25,59,28,2,77,12,26,0,24,32,16,53
February,Mid-West,347,213,134,52,196,92,7,120,184,43,0,85,104,66,148
February,North-East,124,71,53,15,64,32,13,69,54,1,0,23,27,19,34
February,North-West,63,45,18,9,37,16,1,21,31,10,1,7,9,5,17
February,South-East,217,161,56,32,120,57,8,53,162,0,2,13,16,10,19
February,South-West,572,362,210,78,332,139,23,313,260,0,0,103,144,62,244
February,West,315,187,128,48,162,93,12,165,150,0,0,101,160,42,183
March,Dublin,4515,2773,1742,524,2662,1241,88,2442,2102,54,0,1103,1609,597,2491
March,Mid-East,317,191,126,44,174,88,11,192,121,4,0,81,114,48,184
March,Midlands,97,53,44,20,51,25,1,63,12,22,0,17,23,11,38
